t,chi_hhi_star,lambda2,total_weight,load_cv
584.0,0.18537303664874472,-6.411568838248975e-16,57.599999999190004,1.2909944487315028
586.0,0.18537303664874472,-9.836027289175875e-16,57.59999999918999,1.2909944487315024
588.0,0.18537303664874472,-7.589275041597748e-16,57.59999999918999,1.2909944487315026
590.0,0.18537303664874472,-8.478766112901939e-16,57.599999999190004,1.2909944487315026
592.0,0.18537303664874472,-6.941360574711551e-16,57.59999999919,1.2909944487315028
594.0,0.18537303664874472,-6.771954830362944e-16,57.59999999919,1.2909944487315026
596.0,0.18537303664874472,-7.549333629833728e-16,57.59999999919,1.2909944487315024
598.0,0.18537303664874472,-7.504232458582691e-16,57.59999999919,1.2909944487315024
600.0,0.18537303664874472,-5.315112955136629e-16,57.59999999918999,1.2909944487315024
602.0,0.18537303664874472,-7.717612665427809e-16,57.59999999918999,1.2909944487315024
604.0,0.18537303664874472,-7.211273608620154e-16,57.59999999919,1.2909944487315024
606.0,0.18537303664874472,-6.906931607853126e-16,57.599999999189976,1.2909944487315026
608.0,0.18537303664874472,-6.259110835413188e-16,57.59999999918998,1.2909944487315024
610.0,0.18537303664874472,-9.69700803497681e-16,57.599999999189976,1.2909944487315024
612.0,0.18537303664874472,-8.052740406850763e-16,57.599999999189976,1.2909944487315026
614.0,0.18537303664874472,-7.945028961651386e-16,57.599999999189976,1.2909944487315024
616.0,0.18537303664874472,-7.1871027144439e-16,57.59999999918996,1.2909944487315024
618.0,0.18537303664874472,-8.356034358566333e-16,57.59999999918996,1.2909944487315024
620.0,0.18537303664874472,-9.941276225896673e-16,57.59999999918996,1.2909944487315024
622.0,0.18537303664874472,-8.086188689247338e-16,57.59999999918996,1.2909944487315024
624.0,0.18537303664874472,-6.297147004124536e-16,57.59999999918996,1.2909944487315024
626.0,0.18537303664874472,-6.662001229949914e-16,57.59999999918996,1.2909944487315024
628.0,0.18537303664874472,-9.015126470994561e-16,57.59999999918996,1.2909944487315024
630.0,0.18537303664874472,-6.935609774382706e-16,57.59999999918996,1.2909944487315024
632.0,0.18537303664874472,-7.915173420063227e-16,57.59999999918996,1.2909944487315024
634.0,0.18537303664874472,-6.717799216502816e-16,57.59999999918996,1.2909944487315024
636.0,0.18537303664874472,-7.772835475995639e-16,57.59999999918996,1.2909944487315024
638.0,0.18537303664874472,-9.915534611870955e-16,57.59999999918996,1.2909944487315024
640.0,0.18537303664874472,-5.367259845121949e-16,57.59999999918996,1.2909944487315024
642.0,0.18537303664874472,-7.93987832863819e-16,57.59999999918996,1.2909944487315024
644.0,0.18537303664874472,-8.873557523091754e-16,57.59999999918996,1.2909944487315024
646.0,0.18537303664874472,-1.1175117559762065e-15,57.59999999918996,1.2909944487315024
648.0,0.18537303664874472,-6.162631769645468e-16,57.59999999918996,1.2909944487315024
650.0,0.18537303664874472,-5.530317580100651e-16,57.59999999918996,1.2909944487315024
652.0,0.18537303664874472,-6.283183567554376e-16,57.59999999918996,1.2909944487315024
654.0,0.18537303664874472,-5.602162657057996e-16,57.59999999918996,1.2909944487315024
656.0,0.18537303664874472,-6.930642606888211e-16,57.59999999918996,1.2909944487315024
658.0,0.18537303664874472,-7.926633873238649e-16,57.59999999918996,1.2909944487315024
660.0,0.18537303664874472,-7.86575994068298e-16,57.59999999918996,1.2909944487315024
662.0,0.18537303664874472,-6.588329055271933e-16,57.59999999918996,1.2909944487315024
664.0,0.18537303664874472,-6.34753951132947e-16,57.59999999918996,1.2909944487315024
666.0,0.18537303664874472,-7.040410400002696e-16,57.59999999918996,1.2909944487315024
668.0,0.18537303664874472,-7.282416047073356e-16,57.59999999918996,1.2909944487315024
670.0,0.18537303664874472,-7.506967594606088e-16,57.59999999918996,1.2909944487315024
672.0,0.18537303664874472,-6.087445092150444e-16,57.59999999918996,1.2909944487315024
674.0,0.18537303664874472,-8.000688002031242e-16,57.59999999918996,1.2909944487315024
676.0,0.18537303664874472,-6.018114987773537e-16,57.59999999918996,1.2909944487315024
678.0,0.18537303664874472,-7.810219512094947e-16,57.59999999918996,1.2909944487315024
680.0,0.18537303664874472,-7.161750982288385e-16,57.59999999918996,1.2909944487315024
682.0,0.18537303664874472,-7.915791202794194e-16,57.59999999918996,1.2909944487315024
684.0,0.18537303664874472,-7.379049985541971e-16,57.59999999918996,1.2909944487315024
686.0,0.18537303664874472,-6.839288756968997e-16,57.59999999918996,1.2909944487315024
688.0,0.18537303664874472,-6.694486730327367e-16,57.59999999918996,1.2909944487315024
690.0,0.18537303664874472,-6.66917032492296e-16,57.59999999918996,1.2909944487315024
692.0,0.18537303664874472,-7.019854566844122e-16,57.59999999918996,1.2909944487315024
694.0,0.18537303664874472,-6.243163021884373e-16,57.59999999918996,1.2909944487315024
696.0,0.18537303664874472,-6.920154153784775e-16,57.59999999918996,1.2909944487315024
698.0,0.18537303664874472,-7.336569278483054e-16,57.59999999918996,1.2909944487315024
700.0,0.18537303664874472,-6.969648827238377e-16,57.59999999918996,1.2909944487315024
702.0,0.18537303664874472,-6.082669597743185e-16,57.59999999918996,1.2909944487315024
704.0,0.18537303664874472,-6.393237506154296e-16,57.59999999918996,1.2909944487315024
706.0,0.18537303664874472,-6.900200053350153e-16,57.59999999918996,1.2909944487315024
708.0,0.18537303664874472,-9.476350425670483e-16,57.59999999918996,1.2909944487315024
710.0,0.18537303664874472,-6.839265731025724e-16,57.59999999918996,1.2909944487315024
712.0,0.18537303664874472,-5.540891797701019e-16,57.59999999918996,1.2909944487315024
714.0,0.18537303664874472,-8.124793273073994e-16,57.59999999918996,1.2909944487315024
716.0,0.18537303664874472,-6.70035915220605e-16,57.59999999918996,1.2909944487315024
718.0,0.18537303664874472,-8.347598994887807e-16,57.59999999918996,1.2909944487315024
720.0,0.18537303664874472,-8.419662700155593e-16,57.59999999918996,1.2909944487315024
722.0,0.18537303664874472,-8.9406372825056e-16,57.59999999918996,1.2909944487315024
724.0,0.18537303664874472,-8.230210211581368e-16,57.59999999918996,1.2909944487315024
726.0,0.18537303664874472,-7.113014562963176e-16,57.59999999918996,1.2909944487315024
728.0,0.18537303664874472,-8.98332911279784e-16,57.59999999918996,1.2909944487315024
730.0,0.18537303664874472,-7.547084462958344e-16,57.59999999918996,1.2909944487315024
732.0,0.18537303664874472,-7.726092641669218e-16,57.59999999918996,1.2909944487315024
734.0,0.18537303664874472,-7.459455201657337e-16,57.59999999918996,1.2909944487315024
736.0,0.18537303664874472,-6.847022711056876e-16,57.59999999918996,1.2909944487315024
738.0,0.18537303664874472,-5.726576850373632e-16,57.59999999918996,1.2909944487315024
740.0,0.18537303664874472,-7.007057365382335e-16,57.59999999918996,1.2909944487315024
742.0,0.18537303664874472,-6.798297094212705e-16,57.59999999918996,1.2909944487315024
744.0,0.18537303664874472,-7.863564283628958e-16,57.59999999918996,1.2909944487315024
746.0,0.18537303664874472,-7.010782815743252e-16,57.59999999918996,1.2909944487315024
748.0,0.18537303664874472,-7.747188824222477e-16,57.59999999918996,1.2909944487315024
750.0,0.18537303664874472,-8.090911510208394e-16,57.59999999918996,1.2909944487315024
752.0,0.18537303664874472,-6.201829895792572e-16,57.59999999918996,1.2909944487315024
754.0,0.18537303664874472,-9.522234720440485e-16,57.59999999918996,1.2909944487315024
756.0,0.18537303664874472,-7.416048931291955e-16,57.59999999918996,1.2909944487315024
758.0,0.18537303664874472,-1.126418741612775e-15,57.59999999918996,1.2909944487315024
760.0,0.18537303664874472,-8.64583610154617e-16,57.59999999918996,1.2909944487315024
762.0,0.18537303664874472,-6.905550453670921e-16,57.59999999918996,1.2909944487315024
764.0,0.18537303664874472,-7.281093052115111e-16,57.59999999918996,1.2909944487315024
766.0,0.18537303664874472,-6.987434375611145e-16,57.59999999918996,1.2909944487315024
